openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[769]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1142]: Warning: Wire user_proj_example.\io_out [34] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1143]: Warning: Wire user_proj_example.\io_out [33] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1144]: Warning: Wire user_proj_example.\io_out [32] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1145]: Warning: Wire user_proj_example.\io_out [31] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1146]: Warning: Wire user_proj_example.\io_out [30] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1147]: Warning: Wire user_proj_example.\io_out [29] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1148]: Warning: Wire user_proj_example.\io_out [28] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1149]: Warning: Wire user_proj_example.\io_out [27] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1150]: Warning: Wire user_proj_example.\io_out [26] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1151]: Warning: Wire user_proj_example.\io_out [25] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1152]: Warning: Wire user_proj_example.\io_out [24] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1153]: Warning: Wire user_proj_example.\io_out [23] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1154]: Warning: Wire user_proj_example.\io_out [22] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1155]: Warning: Wire user_proj_example.\io_out [21] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1156]: Warning: Wire user_proj_example.\io_out [20] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1157]: Warning: Wire user_proj_example.\io_out [19] is used but has no driver.
